[11:12:03.559 INF] [T:1] [Game] Logger setup was successful: Game
[11:12:03.698 DBG] [T:1] [Game] [Engine] Discovered '12' commands: [19999, 10007, 10006, 10000, 10008, 10010, 10009, 10001, 10004, 10005, 10003, 10002]
[11:12:03.701 INF] [T:1] [Game] The server Game is initialized.
[11:13:00.669 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 145
[11:13:00.685 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 149
[11:13:00.701 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 149
[11:13:00.717 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 149
[11:13:00.732 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 152
[11:13:00.747 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 152
[11:13:00.766 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 152
[11:13:00.780 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 155
[11:13:00.797 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 155
[11:13:00.812 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 155
[11:13:00.828 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 155
[11:13:00.844 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 159
[11:13:00.860 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 159
[11:13:00.876 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 159
[11:13:00.892 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 162
[11:13:00.908 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 162
[11:13:00.924 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 162
[11:13:00.940 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 165
[11:13:00.957 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 165
[11:13:00.972 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 165
[11:13:00.989 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 166
[11:13:01.004 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 168
[11:13:01.020 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 168
[11:13:01.036 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 168
[11:13:01.052 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 172
[11:13:01.068 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 172
[11:13:01.084 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 172
[11:13:01.100 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 175
[11:13:01.116 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 175
[11:13:01.133 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 175
[11:13:01.149 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 175
[11:13:01.164 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 179
[11:13:01.180 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 179
[11:13:01.196 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 179
[11:13:01.212 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 182
[11:13:01.228 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 182
[11:13:01.244 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 182
[11:13:01.258 DBG] [T:45] [Game] Avg: 4, Jitter: 22, LossRate: 0
[11:13:01.260 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 185
[11:13:01.276 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 185
[11:13:01.293 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 185
[11:13:01.309 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 188
[11:13:01.325 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 188
[11:13:01.341 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 188
[11:13:01.357 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 188
[11:13:01.372 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 192
[11:13:01.388 DBG] [T:56] [Game] [Ack] Remote acknowledged up to: 192
[11:13:01.404 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 192
[11:13:01.420 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 195
[11:13:01.436 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 195
[11:13:01.452 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 195
[11:13:01.469 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 198
[11:13:01.485 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 198
[11:13:01.501 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 198
[11:13:01.516 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 198
[11:13:01.532 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 202
[11:13:01.548 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 202
[11:13:01.565 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 202
[11:13:01.581 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 205
[11:13:01.597 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 205
[11:13:01.613 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 205
[11:13:01.629 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 205
[11:13:01.644 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 209
[11:13:01.660 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 209
[11:13:01.676 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 209
[11:13:01.692 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 212
[11:13:01.709 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 212
[11:13:01.725 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 212
[11:13:01.741 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 215
[11:13:01.757 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 215
[11:13:01.772 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 215
[11:13:01.788 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 215
[11:13:01.805 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 219
[11:13:01.821 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 219
[11:13:01.837 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 219
[11:13:01.853 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 222
[11:13:01.869 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 222
[11:13:01.884 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 222
[11:13:01.900 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 225
[11:13:01.917 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 225
[11:13:01.933 DBG] [T:44] [Game] [Ack] Remote acknowledged up to: 225
[11:13:01.949 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 225
