[14:59:23.509 INF] [T:1] [Rank] Logger setup was successful: Rank
[14:59:23.641 DBG] [T:1] [Rank] [Engine] Discovered '5' commands: [3003, 3002, 3001, 3000, 1000]
[14:59:23.642 INF] [T:1] [Rank] The server Rank is initialized.
[14:59:23.646 INF] [T:7] [PerfMonitor] Time:2026-03-27 05:59:23.644Z CPU=0.6% WS=63.36MB Managed=761.56KB Threads=17
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[14:59:23.908 DBG] [T:1] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[14:59:23.916 INF] [T:1] [Rank] [Daily] Season loaded. kind="Daily", num=96, state="Running", start="2026-03-23T00:00:00.0000000+09:00", end="2026-03-24T00:00:00.0000000+09:00"
[14:59:23.918 INF] [T:1] [Rank] Listener (0.0.0.0:20001:"Tcp") was started.
[14:59:23.920 INF] [T:1] [Rank] The server instance Rank was been started!
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1, rank=2, score=30, isRewarded=false, item=[0:0:70]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=2, rank=1, score=40, isRewarded=false, item=[0:0:100]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/1, uid=1000001, rank=3, score=10, isRewarded=false, item=[0:0:50]
[14:59:23.957 DBG] [T:12] [Rank] [Daily] Reward loaded. season="Daily"/12, uid=1000001, rank=1, score=30, isRewarded=false, item=[0:0:100]
[15:31:53.735 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:31:52.735Z CPU=0.0% WS=78.41MB Managed=14.90MB Threads=35
[15:32:23.736 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:32:22.735Z CPU=0.0% WS=78.41MB Managed=15.39MB Threads=35
[15:32:53.736 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:32:52.736Z CPU=0.0% WS=78.38MB Managed=15.88MB Threads=34
[15:33:23.736 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:33:22.736Z CPU=0.0% WS=78.38MB Managed=16.36MB Threads=34
[15:33:53.737 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:33:52.736Z CPU=0.0% WS=78.41MB Managed=16.85MB Threads=36
[15:34:23.736 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:34:23.736Z CPU=0.0% WS=78.38MB Managed=17.35MB Threads=34
[15:34:53.738 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:34:52.736Z CPU=0.0% WS=78.45MB Managed=10.14MB Threads=35
[15:35:23.738 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:35:22.737Z CPU=0.0% WS=78.44MB Managed=10.62MB Threads=34
[15:35:53.738 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:35:52.738Z CPU=0.0% WS=78.44MB Managed=11.13MB Threads=34
[15:36:23.739 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:36:22.738Z CPU=0.0% WS=78.45MB Managed=11.62MB Threads=35
[15:36:53.739 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:36:52.739Z CPU=0.0% WS=78.44MB Managed=12.10MB Threads=34
[15:37:23.739 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:37:22.739Z CPU=0.0% WS=78.44MB Managed=12.60MB Threads=34
[15:37:53.740 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:37:53.740Z CPU=0.0% WS=78.45MB Managed=13.09MB Threads=35
[15:38:23.739 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:38:22.740Z CPU=0.0% WS=78.44MB Managed=13.55MB Threads=34
[15:38:53.740 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:38:52.740Z CPU=0.0% WS=78.45MB Managed=14.06MB Threads=35
[15:39:23.741 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:39:22.740Z CPU=0.0% WS=78.44MB Managed=14.53MB Threads=34
[15:39:53.741 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:39:52.741Z CPU=0.0% WS=78.47MB Managed=15.01MB Threads=35
[15:40:23.740 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:40:22.741Z CPU=0.0% WS=78.47MB Managed=15.50MB Threads=35
[15:40:53.742 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:40:52.741Z CPU=0.0% WS=78.48MB Managed=15.99MB Threads=36
[15:41:23.742 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:41:22.742Z CPU=0.0% WS=78.48MB Managed=16.48MB Threads=36
[15:41:53.743 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:41:52.742Z CPU=0.0% WS=78.45MB Managed=16.98MB Threads=34
[15:42:23.743 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:42:22.743Z CPU=0.0% WS=78.50MB Managed=17.47MB Threads=36
[15:42:53.744 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:42:52.742Z CPU=0.0% WS=78.48MB Managed=10.28MB Threads=34
[15:43:23.742 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:43:22.743Z CPU=0.0% WS=78.50MB Managed=10.79MB Threads=35
[15:43:53.743 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:43:52.744Z CPU=0.0% WS=78.50MB Managed=11.26MB Threads=36
[15:44:23.744 INF] [T:7] [PerfMonitor] Time:2026-03-27 06:44:22.743Z CPU=0.0% WS=78.48MB Managed=11.77MB Threads=35
